iter	RMSE
115	0.2216800322
116	0.2207805603
117	0.2199041654
118	0.2190544457
119	0.2181868647
120	0.2173389349
121	0.2165008775
122	0.21567679
123	0.2148585824
124	0.2140914809
125	0.213346828
126	0.2125304182
127	0.2116428586
128	0.2108080129
129	0.2099694519
130	0.2092142059
131	0.2084081818
132	0.2076167466
133	0.2068488513
134	0.2061100787
135	0.2053730808
136	0.2046106161
137	0.2039675784
138	0.2032475515
139	0.2024819189
140	0.2017178533
141	0.2009952582
142	0.2002786525
143	0.1995620369
144	0.1988888208
145	0.198104908
146	0.1973991382
147	0.1967028811
148	0.1960138749
149	0.1953167562
150	0.1946726203
151	0.1940217454
152	0.1933469869
153	0.1926791125
154	0.1920219252
155	0.1913516823
156	0.1908043615
157	0.1901849498
158	0.1895254168
159	0.1889896652
160	0.1883836675
161	0.1877701357
162	0.1872093416
163	0.1866185374
164	0.186091479
165	0.1854804682
166	0.1849532294
167	0.1843974014
168	0.1838120306
169	0.1833091958
170	0.1827660253
171	0.1822266607
172	0.181660895
173	0.1810838748
174	0.1805784956
175	0.1800626085
176	0.1794974319
177	0.1789878592
178	0.1785969287
179	0.1780592647
180	0.1775249369
181	0.1769857156
182	0.1764593611
183	0.1759515415
184	0.1754371188
185	0.1750105679
186	0.1745260865
187	0.1740397051
188	0.1736019581
189	0.1731438322
190	0.1726828162
191	0.1722264595
192	0.1717714036
193	0.1713252374
194	0.1708822703
195	0.1704646097
196	0.1700016308
197	0.169555073
198	0.169160142
199	0.1687892139
200	0.16831815
201	0.1678703004
202	0.1674438628
203	0.1670520772
204	0.1665906419
205	0.16617735
206	0.1658271546
207	0.1654196238
208	0.165069946
209	0.1647342098
210	0.1643613645
211	0.1639450441
212	0.1634911845
213	0.1630805896
214	0.162745303
215	0.1623629295
216	0.1619695811
217	0.1616132972
218	0.1612725596
219	0.1609273986
220	0.1606260466
221	0.1602390407
222	0.1598551615
223	0.159462944
224	0.159121097
225	0.1587223406
226	0.1583885602
227	0.1579781566
228	0.1575848027
229	0.1572763932
230	0.156968683
231	0.1566588904
232	0.156356198
233	0.1560326214
234	0.1557319544
235	0.155411172
236	0.1551048393
237	0.1547764951
238	0.1544838466
239	0.1541898959
240	0.1538375833
241	0.1535414958
242	0.1532748212
243	0.152961961
244	0.1526406817
245	0.1523274872
246	0.1520321697
247	0.1517478227
248	0.1514760792
249	0.1511894309
250	0.1508346316
251	0.150552126
252	0.1503195897
253	0.1500635496
254	0.1497832329
255	0.1495159713
256	0.1492298779
257	0.1489765313
258	0.1487068751
259	0.1484635324
260	0.1482039086
261	0.1479027497
262	0.1476817311
263	0.1474480332
264	0.147193752
265	0.1469461084
266	0.146704121
267	0.1464419964
268	0.146181464
269	0.1458969292
270	0.1456353714
271	0.1453773541
272	0.1451368342
273	0.1448334141
274	0.1445799797
275	0.1443524692
276	0.1441350962
277	0.1438916274
278	0.1436458049
279	0.143432449
280	0.1432123092
281	0.1429670806
282	0.1427258671
283	0.1424719785
284	0.1422245999
285	0.1419909396
286	0.1417430479
287	0.1415164273
288	0.1412843333
289	0.1410375408
290	0.1408202303
291	0.1406315956
292	0.1404401716
293	0.1402090381
294	0.1399549179
295	0.1397381422
296	0.1395152235
297	0.1393106733
298	0.1390346954
299	0.1388282002
300	0.1385723639
301	0.138396084
302	0.1382138765
303	0.1380103462
304	0.137828745
305	0.1375979944
306	0.137391377
307	0.1371811707
308	0.1369789541
309	0.1368046322
310	0.1366280871
311	0.1364189828
312	0.136212317
313	0.1359943525
314	0.1357736569
315	0.1356095529
316	0.1354496034
317	0.1352495301
318	0.1350843122
319	0.1348597686
320	0.1346726532
321	0.1344691039
322	0.1342712015
323	0.134114707
324	0.133972163
325	0.1338210466
326	0.1337235333
327	0.1335594481
328	0.1334214123
329	0.1331964448
330	0.1330367226
331	0.1328614496
332	0.1327003485
333	0.1325046866
334	0.1323610168
335	0.1321826707
336	0.1319995363
337	0.1318222514
338	0.1316860054
339	0.1315283345
340	0.1313707255
341	0.1311791453
342	0.1310037417
343	0.1308372047
344	0.1306640263
345	0.1304888952
346	0.1303245323
347	0.1301509108
348	0.1299894751
349	0.1298401923
350	0.1296859461
351	0.1295196727
352	0.1293775608
353	0.12924616
354	0.1290995538
355	0.1289494304
356	0.1287925721
357	0.1286424075
358	0.128482406
359	0.1283222572
360	0.1281815211
361	0.1280590907
362	0.127928686
363	0.1277409759
364	0.1275847688
365	0.1274304521
366	0.1272855048
367	0.1271324894
368	0.1269916706
369	0.1268463673
370	0.1266988949
371	0.1265474703
372	0.1264497326
373	0.1262999175
374	0.1261359244
375	0.1260360954
376	0.1259060342
377	0.1257619677
378	0.1256000649
379	0.125465688
380	0.1253374206
381	0.1252222386
382	0.1251057893
383	0.1249681809
384	0.1248365668
385	0.1246862534
386	0.1245390613
387	0.1243971537
388	0.124287892
389	0.1241451088
390	0.1240083006
391	0.1239374649
392	0.1238226224
393	0.1237127792
394	0.1235803356
395	0.1234500979
396	0.1233068657
397	0.1231773878
398	0.1230529814
399	0.1229162131
400	0.1227798632
401	0.1226542227
402	0.1225543769
403	0.1224195979
404	0.1222635047
405	0.1221153801
406	0.1220085022
407	0.1218813489
408	0.1217616731
409	0.1216566753
410	0.1215265008
411	0.1214364958
412	0.1212899331
413	0.1211889109
414	0.1210695974
415	0.1209498842
416	0.1207927184
417	0.1206741697
418	0.1205421812
419	0.1204195515
420	0.1202998222
421	0.1201805511
422	0.1200560623
423	0.1199226984
424	0.119796784
425	0.1196701069
426	0.1195673959
427	0.1194535406
428	0.119344186
429	0.1192129009
430	0.1191071639
431	0.11897678
432	0.1188585377
433	0.118734419
434	0.1186195814
435	0.1185247292
436	0.1184296602
437	0.1183339009
438	0.1182353016
439	0.1181266349
440	0.1180030583
441	0.1178757062
442	0.1177948841
443	0.1176876248
444	0.117569945
445	0.117488997
446	0.1173953003
447	0.1173011944
448	0.1171839356
449	0.117121486
450	0.1170447955
451	0.1169401279
452	0.1168143703
453	0.116726653
454	0.1165813006
455	0.1164423428
456	0.1163339169
457	0.1162597965
458	0.1161328978
459	0.116044409
460	0.1159405403
461	0.1158500485
462	0.1157498461
463	0.115631281
464	0.1155398023
465	0.1154220092
466	0.1153154796
467	0.1152307853
468	0.1151562536
469	0.115041955
470	0.114934863
471	0.1148283659
472	0.1147340074
473	0.1146480121
474	0.1145636369
475	0.1145066608
476	0.1144207393
477	0.1143378042
478	0.114260871
479	0.1141577972
480	0.1140439862
481	0.1139511194
482	0.1138560966
483	0.1137483871
484	0.1136828557
485	0.1135830938
486	0.1135114658
487	0.113390593
488	0.1133218925
489	0.1132161058
490	0.1131220831
491	0.1130120789
492	0.1129141936
493	0.1127913585
494	0.112695395
495	0.1125570718
496	0.1124985378
497	0.1124053845
498	0.1123332533
499	0.112255761
500	0.1121568956
501	0.1120832759
502	0.1120055403
503	0.1119347196
504	0.1118631111
505	0.1117718435
506	0.1116974233
507	0.1116246891
508	0.1115231593
509	0.1114689209
510	0.1113676038
511	0.1112777609
512	0.1111930724
513	0.1111014783
514	0.1110102049
515	0.1109158983
516	0.1108335495
517	0.1107534832
518	0.110686005
519	0.1106241066
520	0.1105325337
521	0.1104697728
522	0.1104160588
523	0.1103552862
524	0.1102933556
525	0.1102052847
526	0.110119585
527	0.1100340884
528	0.1099500233
529	0.1098590439
530	0.1098464658
531	0.1097826545
532	0.1097015155
533	0.1096259588
534	0.109545052
535	0.1094717446
536	0.1094051847
537	0.1093511873
538	0.1092587218
539	0.10920217
540	0.1091426854
541	0.1090674937
542	0.1090266641
543	0.1089735333
544	0.1089146894
545	0.1088492686
546	0.1087850894
547	0.1087017272
548	0.1086302086
549	0.1085677063
550	0.1085104413
551	0.1084391677
552	0.108346112
553	0.1082745252
554	0.1081950151
555	0.1081333827
556	0.1080694637
557	0.1079879959
558	0.1079110562
559	0.1078430656
560	0.1077791845
561	0.1077207765
562	0.1076621566
563	0.107594766
564	0.1075295616
565	0.1074392679
566	0.1073787546
567	0.1073389725
568	0.1072586881
569	0.1071815212
570	0.1070840636
571	0.1070186273
572	0.1069463546
573	0.1068820851
574	0.1068144056
575	0.1067597598
576	0.1066957884
577	0.106641259
578	0.1065453988
579	0.1064862536
580	0.1064393751
581	0.1063615919
582	0.1063020554
583	0.1062287451
584	0.106159829
585	0.1060982232
586	0.1060192096
587	0.1059422954
588	0.1058427602
589	0.1058102881
590	0.1057728529
591	0.1056811373
592	0.105630842
593	0.1055973997
594	0.105532361
595	0.1054770721
596	0.1054125488
597	0.1053301407
598	0.1052616781
599	0.1051914827
600	0.105151623
601	0.1051055532
602	0.1050786421
603	0.105019186
604	0.1049497953
605	0.1049031912
606	0.1048657928
607	0.1048161043
608	0.1047590679
609	0.1047022235
610	0.1046611
611	0.1045964418
612	0.104536396
613	0.1044644782
614	0.1044190054
615	0.1043815477
616	0.1043234451
617	0.1042489655
618	0.104191487
619	0.1041183967
620	0.1040560866
621	0.1040215136
622	0.1039647613
623	0.1039086555
624	0.1038465098
625	0.1037648826
626	0.1037190641
627	0.1036861577
628	0.103645162
629	0.1035876034
630	0.1035294371
631	0.1034798107
632	0.1034430274
633	0.1033669615
634	0.1032849257
635	0.1032354838
636	0.1031546457
637	0.1030897164
638	0.1030245933
639	0.1029764528
640	0.1029043271
641	0.1028602326
642	0.1028164343
643	0.1028063283
644	0.1027679977
645	0.1026973396
646	0.1026648673
647	0.102620041
648	0.1025552573
649	0.1024818667
650	0.1024364671
651	0.1023692484
652	0.102348228
653	0.1022638817
654	0.1022114873
655	0.1021327448
656	0.1020739764
657	0.1020162873
658	0.1019700374
659	0.1019158181
660	0.1018497364
661	0.101791827
662	0.1017360175
663	0.1016955558
664	0.1016511524
665	0.1016106386
666	0.1015504102
667	0.1014890685
668	0.1014626986
669	0.1014193101
670	0.1013224487
671	0.1013029784
672	0.1012661492
673	0.1011960095
674	0.1011450063
675	0.1011301412
676	0.1010727506
677	0.101017373
678	0.1009760036
679	0.100916134
680	0.1008415454
681	0.1008120372
682	0.100767588
683	0.1007075059
684	0.1006456698
685	0.1006108571
686	0.1005532384
687	0.1005008635
688	0.1004402754
689	0.1004157032
690	0.1003715995
691	0.1002944157
692	0.1002666478
693	0.1002063711
694	0.1001088927
695	0.1000400516
696	0.09997530946
697	0.09993382031
698	0.09988301621
699	0.09983878211
700	0.09978664005
701	0.09976062998
702	0.09972536474
703	0.09967342083
704	0.09964022643
705	0.09956578469
706	0.09950238007
707	0.09945140395
708	0.09939293291
709	0.09933579853
710	0.09927320498
711	0.09922454952
712	0.09920637368
713	0.09913816524
714	0.09907672852
715	0.0990440205
716	0.09900156597
717	0.09896430256
718	0.09893672278
719	0.09887560512
720	0.09883565477
721	0.09878480941
722	0.09874021141
723	0.09869721573
724	0.09865116912
725	0.09858801759
726	0.09854589861
727	0.09851742871
728	0.09848466358
729	0.09840682736
730	0.09836541665
731	0.09832794108
732	0.09827506145
733	0.0982362986
734	0.09821158858
735	0.09817391821
736	0.09813839675
737	0.09810516704
738	0.09806168695
739	0.09798916574
740	0.09793985589
741	0.09789776084
742	0.09784057871
743	0.09778252118
744	0.09773882325
745	0.09768355088
746	0.09764396601
747	0.09757936076
748	0.09752888127
749	0.09748525675
750	0.09742312295
751	0.09738668271
752	0.09736187023
753	0.09733322249
754	0.09728860811
755	0.0972583425
756	0.09721483674
757	0.09714874565
758	0.09709352775
759	0.09706267567
760	0.09703316591
761	0.09698458816
762	0.09694633325
763	0.09689540686
764	0.09685822616
765	0.09680018732
766	0.09677535729
767	0.09673088274
768	0.09671246735
769	0.09664673187
770	0.09660957888
771	0.09656902721
772	0.09652696669
773	0.0964876384
774	0.09646694451
775	0.09641743316
776	0.09637929348
777	0.09631966133
778	0.09626679989
779	0.09623389451
780	0.096214932
781	0.09617347307
782	0.0961470338
783	0.09608858207
784	0.09603252646
785	0.0959850728
786	0.09593848354
787	0.09589037925
788	0.09586155931
789	0.09577027447
790	0.09571940651
791	0.09566534935
792	0.09563073489
793	0.09560324368
794	0.09558284152
795	0.09553141744
796	0.09549569413
797	0.09546024084
798	0.09544089257
799	0.09539817821
800	0.09536274432
801	0.09532434805
802	0.09528033816
803	0.09524414008
804	0.09518158909
805	0.09513695126
806	0.09509477109
807	0.0950472871
808	0.09497249449
809	0.09491853534
810	0.09489743389
811	0.0948573963
812	0.09481904641
813	0.09476252364
814	0.09470274811
815	0.09467602567
816	0.09465387586
817	0.09463305144
818	0.09459406904
819	0.09456066356
820	0.09453359615
821	0.09448388903
822	0.09442357068
823	0.09433838521
824	0.0942998212
825	0.09424325447
826	0.09422356144
827	0.09420069695
828	0.09413312355
829	0.09410630109
830	0.09405425685
831	0.09399521871
832	0.09395204196
833	0.09389489859
834	0.0938719175
835	0.0938261507
836	0.09379410037
837	0.09375087987
838	0.09369151647
839	0.09364969995
840	0.09359953046
841	0.09355463682
842	0.0934968693
843	0.09342927892
844	0.09341916567
845	0.09335672553
846	0.09332541677
847	0.09329125817
848	0.09325832904
849	0.09322578495
850	0.09318239345
851	0.09314188446
852	0.09308415014
853	0.0930118771
854	0.09297287584
855	0.09290174052
856	0.09285334508
857	0.09279390441
858	0.09276232142
859	0.09275173144
860	0.09269393555
861	0.09267072145
862	0.0926168571
863	0.09258510746
864	0.09255865067
865	0.09254831074
866	0.09249578603
867	0.09244057395
868	0.09241960462
869	0.0923719358
870	0.09232218435
871	0.09229789612
872	0.0922545667
873	0.09222533967
874	0.09217873906
875	0.09212396359
876	0.09209387523
877	0.09204700286
878	0.09199949237
879	0.09197202787
880	0.09193730123
881	0.0919061583
882	0.09185760042
883	0.09183584025
884	0.09178611545
885	0.09176149348
886	0.09170294504
887	0.09164737161
888	0.09162402111
889	0.09156058284
890	0.09150813958
891	0.09147230007
892	0.09144744524
893	0.09141273196
894	0.09138553448
895	0.09134966671
896	0.09132392153
897	0.09125896072
898	0.09123167218
899	0.09118841497
900	0.09112990328
901	0.09108109452
902	0.09106786401
903	0.09102446066
904	0.09100181852
905	0.09096953204
906	0.09090518749
907	0.09088171798
908	0.09082792142
909	0.09076353246
910	0.09071599445
911	0.09068517653
912	0.0906636695
913	0.09061344704
914	0.09057538492
915	0.09053655108
916	0.0905006949
917	0.0904483286
918	0.09042072161
919	0.09037290729
920	0.0903262073
921	0.09027720115
922	0.09023104003
923	0.09021285572
924	0.09016762189
925	0.09014570597
926	0.09010106887
927	0.09005343105
928	0.09000456759
929	0.08997245306
930	0.08993171426
931	0.08989119166
932	0.08985606028
933	0.08983841555
934	0.08978155438
935	0.08974302107
936	0.08970143166
937	0.08965292199
938	0.089605369
939	0.08957241923
940	0.08952291689
941	0.08948557778
942	0.08945418395
943	0.08941871019
944	0.08939997601
945	0.08938588052
946	0.08932443532
947	0.08931327939
948	0.08928072891
949	0.089216362
950	0.08916783719
951	0.08913660393
952	0.08908846351
953	0.08907586023
954	0.08903325449
955	0.08898564417
956	0.08894147828
957	0.08891371441
958	0.08886158246
959	0.08882147412
960	0.08877327171
961	0.08872753697
962	0.08871677431
963	0.08867782303
964	0.08863750764
965	0.08860284171
966	0.08855214593
967	0.08848716573
968	0.08844546409
969	0.08841191492
970	0.08836390104
971	0.08830246763
972	0.0882564027
973	0.0882359716
974	0.08821645035
975	0.088200136
976	0.08815950315
977	0.08811561025
978	0.08804815331
979	0.08800590138
980	0.08799229486
981	0.08794586744
982	0.08790245992
983	0.08789006759
984	0.0878549238
985	0.08780768284
986	0.08777804772
987	0.08773564265
988	0.0876921949
989	0.08765816398
990	0.08761203266
991	0.08757408569
992	0.08753559448
993	0.08749269037
994	0.08745390572
995	0.08743984462
996	0.08738783862
997	0.08734154268
998	0.08731341723
999	0.08728174528
