iter	Passed	Remaining
473	737	818
474	738	816
475	740	815
476	741	813
477	743	811
478	744	810
479	746	808
480	747	806
481	749	805
482	750	803
483	752	801
484	753	800
485	755	798
486	756	797
487	758	796
488	760	794
489	761	792
490	763	791
491	764	789
492	766	788
493	767	786
494	769	784
495	771	783
496	772	781
497	773	780
498	775	778
499	776	776
500	778	775
501	780	773
502	781	772
503	783	770
504	784	769
505	785	767
506	787	765
507	788	763
508	790	762
509	792	761
510	793	759
511	795	757
512	796	756
513	798	754
514	799	753
515	801	751
516	802	749
517	803	748
518	805	746
519	807	745
520	809	744
521	811	743
522	812	741
523	814	739
524	816	738
525	817	737
526	819	735
527	820	733
528	822	732
529	823	730
530	825	729
531	826	727
532	828	726
533	830	724
534	832	723
535	833	721
536	834	719
537	836	718
538	837	716
539	839	715
540	840	713
541	842	711
542	843	709
543	844	708
544	846	706
545	848	705
546	849	703
547	851	702
548	852	700
549	853	698
550	855	697
551	857	695
552	859	694
553	860	692
554	862	691
555	863	689
556	865	688
557	866	686
558	868	684
559	869	683
560	870	681
561	872	679
562	873	678
563	875	676
564	876	675
565	878	673
566	879	671
567	881	670
568	882	668
569	883	666
570	885	665
571	886	663
572	888	661
573	889	660
574	891	658
575	892	656
576	894	655
577	895	653
578	896	652
579	898	650
580	899	648
581	902	647
582	903	646
583	905	644
584	906	643
585	908	641
586	909	640
587	911	638
588	913	637
589	914	635
590	916	633
591	917	632
592	918	630
593	920	629
594	921	627
595	923	625
596	924	624
597	926	622
598	927	620
599	929	619
600	930	617
601	932	616
602	933	614
603	935	613
604	937	612
605	939	610
606	941	609
607	942	607
608	944	606
609	945	604
610	947	603
611	948	601
612	950	599
613	951	598
614	953	596
615	954	595
616	956	593
617	958	592
618	959	590
619	961	589
620	962	587
621	964	586
622	965	584
623	967	582
624	968	581
625	970	579
626	971	577
627	972	576
628	974	574
629	975	573
630	977	571
631	978	569
632	980	568
633	981	566
634	983	565
635	984	563
636	986	562
637	988	560
638	989	559
639	991	557
640	992	556
641	994	554
642	995	552
643	997	551
644	998	549
645	1000	548
646	1001	546
647	1003	544
648	1004	543
649	1006	542
650	1008	540
651	1010	539
652	1012	538
653	1014	536
654	1015	534
655	1017	533
656	1018	531
657	1020	530
658	1022	528
659	1023	527
660	1024	525
661	1026	524
662	1028	522
663	1029	521
664	1031	519
665	1032	517
666	1033	516
667	1035	514
668	1036	513
669	1038	511
670	1039	509
671	1041	508
672	1042	506
673	1044	505
674	1045	503
675	1047	502
676	1049	500
677	1051	499
678	1052	497
679	1054	496
680	1055	494
681	1057	493
682	1059	491
683	1061	490
684	1062	488
685	1063	487
686	1065	485
687	1066	483
688	1068	482
689	1069	480
690	1071	479
691	1073	477
692	1075	476
693	1076	474
694	1078	473
695	1079	471
696	1081	470
697	1082	468
698	1084	466
699	1085	465
700	1087	463
701	1088	462
702	1090	460
703	1091	458
704	1093	457
705	1094	455
706	1096	454
707	1098	453
708	1100	451
709	1102	450
710	1103	448
711	1105	447
712	1107	445
713	1110	444
714	1111	443
715	1113	441
716	1115	440
717	1117	438
718	1118	437
719	1120	435
720	1122	434
721	1123	432
722	1125	431
723	1126	429
724	1128	428
725	1130	426
726	1131	424
727	1132	423
728	1134	421
729	1136	420
730	1137	418
731	1138	416
732	1140	415
733	1141	413
734	1143	412
735	1144	410
736	1146	409
737	1147	407
738	1149	405
739	1150	404
740	1152	402
741	1153	401
742	1155	399
743	1156	398
744	1158	396
745	1159	394
746	1161	393
747	1163	391
748	1164	390
749	1166	388
750	1167	387
751	1168	385
752	1170	383
753	1171	382
754	1173	380
755	1174	379
756	1176	377
757	1177	375
758	1179	374
759	1181	372
760	1182	371
761	1184	369
762	1185	368
763	1187	366
764	1188	365
765	1189	363
766	1191	361
767	1192	360
768	1194	358
769	1195	357
770	1197	355
771	1198	354
772	1200	352
773	1202	351
774	1203	349
775	1205	348
776	1207	346
777	1209	345
778	1211	343
779	1213	342
780	1215	340
781	1217	339
782	1219	337
783	1220	336
784	1222	334
785	1223	333
786	1225	331
787	1227	330
788	1228	328
789	1229	326
790	1231	325
791	1233	323
792	1234	322
793	1237	321
794	1239	319
795	1241	318
796	1243	316
797	1244	315
798	1246	313
799	1248	312
800	1250	310
801	1251	309
802	1253	307
803	1255	306
804	1257	304
805	1259	303
806	1261	301
807	1263	300
808	1264	298
809	1266	296
810	1267	295
811	1269	293
812	1270	292
813	1272	290
814	1274	289
815	1275	287
816	1277	286
817	1279	284
818	1280	283
819	1282	281
820	1284	279
821	1285	278
822	1287	276
823	1289	275
824	1290	273
825	1292	272
826	1293	270
827	1295	269
828	1296	267
829	1298	265
830	1299	264
831	1301	262
832	1303	261
833	1305	259
834	1306	258
835	1308	256
836	1309	255
837	1310	253
838	1312	251
839	1313	250
840	1315	248
841	1316	247
842	1318	245
843	1320	244
844	1321	242
845	1323	240
846	1324	239
847	1326	237
848	1327	236
849	1329	234
850	1330	233
851	1332	231
852	1333	229
853	1335	228
854	1336	226
855	1338	225
856	1339	223
857	1341	221
858	1342	220
859	1344	218
860	1345	217
861	1347	215
862	1348	214
863	1350	212
864	1351	210
865	1353	209
866	1354	207
867	1356	206
868	1357	204
869	1359	203
870	1361	201
871	1363	200
872	1365	198
873	1367	197
874	1368	195
875	1370	194
876	1372	192
877	1375	191
878	1377	189
879	1378	188
880	1380	186
881	1382	184
882	1383	183
883	1386	181
884	1387	180
885	1390	178
886	1391	177
887	1393	175
888	1394	174
889	1396	172
890	1397	171
891	1399	169
892	1400	167
893	1401	166
894	1403	164
895	1404	163
896	1406	161
897	1407	159
898	1409	158
899	1410	156
900	1412	155
901	1414	153
902	1416	152
903	1417	150
904	1418	148
905	1420	147
906	1422	145
907	1423	144
908	1424	142
909	1426	141
910	1427	139
911	1429	137
912	1431	136
913	1432	134
914	1434	133
915	1435	131
916	1437	130
917	1438	128
918	1440	126
919	1441	125
920	1443	123
921	1444	122
922	1446	120
923	1447	119
924	1449	117
925	1450	115
926	1452	114
927	1453	112
928	1455	111
929	1456	109
930	1457	108
931	1459	106
932	1460	104
933	1462	103
934	1463	101
935	1465	100
936	1466	98
937	1468	97
938	1469	95
939	1471	93
940	1472	92
941	1474	90
942	1475	89
943	1477	87
944	1478	86
945	1480	84
946	1481	82
947	1483	81
948	1484	79
949	1486	78
950	1487	76
951	1489	75
952	1490	73
953	1491	71
954	1493	70
955	1494	68
956	1496	67
957	1498	65
958	1499	64
959	1500	62
960	1502	60
961	1504	59
962	1506	57
963	1507	56
964	1509	54
965	1510	53
966	1512	51
967	1513	50
968	1514	48
969	1516	46
970	1518	45
971	1519	43
972	1521	42
973	1522	40
974	1523	39
975	1524	37
976	1526	35
977	1528	34
978	1529	32
979	1531	31
980	1532	29
981	1534	28
982	1535	26
983	1537	24
984	1538	23
985	1540	21
986	1541	20
987	1543	18
988	1545	17
989	1546	15
990	1548	14
991	1549	12
992	1551	10
993	1553	9
994	1554	7
995	1556	6
996	1557	4
997	1559	3
998	1560	1
999	1562	0
